RMS,Peak,Crest_Factor,Kurtosis,Skewness,Variance,Peak2Peak,Energy_0_50Hz,Energy_50_100Hz,Energy_100_200Hz,Energy_200_500Hz,THD,Wav_E_approx,Wav_E_D4,Wav_E_D3,Wav_E_D2,Wav_E_D1,Label,Fenetre,HI
1.00984,1.392962,1.379389,3.493484,0.699328,0.003877,0.58651,1.26331864,1.864e-05,9.97e-05,0.00032172,1.92638,0.997039,0.000291,0.000457,0.000778,0.001435,F0,0,0.8995356993862478
0.913142,1.392962,1.525461,1.866589,-1.899241,0.154613,1.612903,1.01986395,0.00881218,0.01676894,0.00448257,0.7242,0.980557,0.005377,0.005577,0.004188,0.004301,F0,1,1.0
4.012616,6.818182,1.699186,-1.188086,0.023554,15.830138,13.538612,0.79123719,0.00796231,0.00716102,0.04522198,0.666314,0.060047,0.003574,0.005004,0.020537,0.910838,F0,2,0.44323641162893757
4.758461,6.818182,1.432854,-1.507973,-0.308371,21.792337,13.294233,8.84175147,1.3458374,2.021261,7.66502774,0.142537,0.746584,0.061958,0.006372,0.005208,0.179878,F0,3,2.286726363820435e-12
4.102749,6.427175,1.566553,-1.464043,-0.031911,16.778063,12.02346,0.0399325,2.094e-05,0.0060841,12.63388639,0.038506,0.91586,0.08153,0.001842,0.000614,0.000154,F0,4,0.4279558072190942
4.125382,6.622678,1.605349,-1.473651,-0.033819,16.974691,12.170088,0.04049596,4.759e-05,0.00445374,12.60013182,0.037885,0.922043,0.075137,0.002129,0.000506,0.000185,F0,5,0.4045821640216598
4.13463,6.524927,1.578116,-1.481892,-0.05342,17.067646,12.121212,0.03538357,9.81e-06,0.0041129,12.62732858,0.040639,0.909737,0.084613,0.004574,0.000872,0.000203,F0,6,0.39753412359722884
4.1056,6.476051,1.57737,-1.466214,-0.067572,16.840176,12.072336,0.03620011,3.37e-05,0.00504623,12.60582705,0.03841,0.906235,0.088809,0.003972,0.000742,0.000242,F0,7,0.4050500789916247
2.554803,4.472141,1.750483,-1.131043,0.030561,6.380786,8.308895,0.17727386,4.8e-06,0.00150341,4.70873546,0.444186,0.789422,0.186455,0.021931,0.001571,0.000621,F1,0,0.45271667607921073
3.788337,6.329423,1.670766,-1.499783,0.091085,13.983236,11.779081,0.4876886,0.0001248,0.00411501,10.20949648,0.068078,0.91579,0.071013,0.00285,0.000756,0.009591,F2,0,0.43715423358865013
3.831247,6.427175,1.677568,-1.488029,0.096361,14.240888,11.779081,0.51545644,0.00027302,0.00365563,10.37008133,0.060585,0.893683,0.085342,0.004484,0.000803,0.015689,F2,1,0.4084273503090188
3.772903,6.378299,1.690555,-1.48822,0.076822,13.869496,11.779081,0.51288009,0.00016006,0.00443446,10.17779022,0.063291,0.91635,0.069779,0.002083,0.000565,0.011224,F6,0,0.4355428700170102
3.769317,6.329423,1.679196,-1.477435,0.070134,13.852546,11.827957,0.51214523,9.368e-05,0.00596891,10.20128417,0.060305,0.894568,0.085861,0.003518,0.000391,0.015662,F7,0,0.4256116176273733
3.762108,6.427175,1.708397,-1.47612,0.065798,13.801159,11.779081,0.51930174,0.00012816,0.00443134,10.17415991,0.060815,0.901565,0.081432,0.001612,0.000477,0.014914,F7,1,0.4246605335923118
3.785124,6.524927,1.723834,-1.486193,0.076245,13.942597,11.876833,0.51353553,0.00017448,0.00467117,10.21776818,0.064399,0.919811,0.065176,0.002596,0.00073,0.011687,F7,2,0.4125344386330213
4.037257,6.915934,1.713028,-1.459917,0.021669,15.841742,12.658847,0.62734044,0.00012006,0.00499997,11.34326496,0.049755,0.882179,0.081595,0.004456,0.000555,0.031213,F8,0,0.3433240801980122
4.022802,7.062561,1.755632,-1.441592,0.012699,15.725498,12.85435,0.65857122,0.00012498,0.00513346,11.34535886,0.050303,0.879195,0.084548,0.003434,0.000553,0.03227,F8,1,0.32316139148229095
