RMS,Peak,Crest_Factor,Kurtosis,Skewness,Variance,Peak2Peak,Energy_0_50Hz,Energy_50_100Hz,Energy_100_200Hz,Energy_200_500Hz,THD,Wav_E_approx,Wav_E_D5,Wav_E_D4,Wav_E_D3,Wav_E_D2,Label,Fenetre,HI
1.0098,1.393,1.3794,3.4935,0.6993,0.0039,0.5865,1.263319,1.9e-05,0.0001,0.000322,5.1717,0.9974,0.0001,0.0002,0.0004,0.0007,Unknown,0,0.9510608544844332
0.9131,1.393,1.5255,1.8666,-1.8992,0.1546,1.6129,1.019864,0.008812,0.016769,0.004483,1.2395,0.9774,0.0065,0.0044,0.0046,0.0035,Unknown,1,1.0
4.0126,6.8182,1.6992,-1.1881,0.0236,15.8301,13.5386,0.791237,0.007962,0.007161,0.045222,0.5263,0.0703,0.0031,0.0035,0.0049,0.0202,Unknown,2,0.6115595370124398
4.7585,6.8182,1.4329,-1.508,-0.3084,21.7923,13.2942,8.841751,1.345837,2.021261,7.665028,1.2229,0.3274,0.4484,0.0548,0.0056,0.0046,Unknown,3,2.07378558769733e-12
4.1027,6.4272,1.5666,-1.464,-0.0319,16.7781,12.0235,0.039932,2.1e-05,0.006084,12.633886,662.5415,0.3264,0.6092,0.0625,0.0014,0.0005,Unknown,4,0.3456785503319584
4.1254,6.6227,1.6053,-1.4737,-0.0338,16.9747,12.1701,0.040496,4.8e-05,0.004454,12.600132,1399.1413,0.3612,0.5805,0.0562,0.0016,0.0004,Unknown,5,0.2771426801995094
4.1346,6.5249,1.5781,-1.4819,-0.0534,17.0676,12.1212,0.035384,1e-05,0.004113,12.627329,403.9998,0.2036,0.7246,0.0673,0.0036,0.0007,Unknown,6,0.34670906411579205
4.1056,6.4761,1.5774,-1.4662,-0.0676,16.8402,12.0723,0.0362,3.4e-05,0.005046,12.605827,678.2412,0.1024,0.8197,0.0738,0.0033,0.0006,Unknown,7,0.32611500311570096
3.2836,6.4272,1.9574,-0.8712,-0.1808,10.7673,11.9746,0.121515,0.118764,0.411427,6.300501,7.3211,0.4291,0.4606,0.1015,0.007,0.0014,Unknown,8,0.4232181811577451
2.6125,5.9873,2.2918,-0.9669,0.01,6.8053,10.4594,0.175882,8e-06,0.001535,4.664947,648.8605,0.2985,0.4803,0.1934,0.0235,0.0029,Unknown,9,0.35885822550852775
3.7662,6.3294,1.6806,-1.4874,0.0845,13.8461,11.7791,0.485289,0.000105,0.004366,10.199494,211.2691,0.2107,0.7067,0.0696,0.0033,0.0005,Unknown,10,0.4190753610660629
3.7977,6.4272,1.6924,-1.4798,0.0685,14.0657,11.7791,0.515964,0.000268,0.003699,10.370223,716.5656,0.3757,0.5501,0.0622,0.0013,0.0003,Unknown,11,0.38492559438031504
3.6572,7.8935,2.1584,-0.2089,0.2676,7.6021,13.2454,9.761902,0.010835,0.003956,3.981546,11.846,0.7116,0.2519,0.0289,0.0039,0.0012,Unknown,12,0.34978359731808395
1.5399,7.0137,4.5545,9.487,-2.5474,1.1599,7.2825,0.719474,0.006495,0.001805,0.161703,2.6425,0.8682,0.0918,0.0162,0.0192,0.0021,Unknown,13,0.4630947465826988
2.9085,6.2317,2.1426,0.0475,0.6375,7.0573,11.5347,2.390627,0.057384,0.568056,3.845437,6.1454,0.2362,0.6749,0.0762,0.0019,0.0005,Unknown,14,0.45878390666620505
3.7649,6.3783,1.6941,-1.4817,0.0783,13.8071,11.7791,0.525592,8.9e-05,0.005104,10.148405,330.9704,0.4289,0.51,0.051,0.0015,0.0005,Unknown,15,0.4274613588953543
3.7782,6.3294,1.6753,-1.465,0.1211,13.7568,11.6813,0.435407,0.014782,0.319859,9.733187,30.5606,0.3426,0.56,0.079,0.0034,0.004,Unknown,16,0.4108579466435486
3.8085,6.4272,1.6876,-1.4886,0.0856,14.074,11.9257,0.525062,0.000209,0.004186,10.203558,319.196,0.2781,0.641,0.0646,0.0024,0.0004,Unknown,17,0.41015594627197827
3.779,6.5249,1.7266,-1.4836,0.0736,13.9054,11.8768,0.519652,0.000269,0.00463,10.18269,351.6047,0.1176,0.7949,0.069,0.0042,0.0005,Unknown,18,0.39430618098382664
3.8064,6.8671,1.8041,-1.4515,0.0337,14.1698,12.5122,0.368668,0.05946,0.701908,9.352654,13.4219,0.2797,0.6081,0.0909,0.0051,0.0009,Unknown,19,0.3393398099574919
4.057,6.9648,1.7167,-1.4644,0.0393,15.9455,12.7077,0.608438,9.1e-05,0.005747,11.436844,388.7261,0.2535,0.6567,0.0633,0.0023,0.0004,Unknown,20,0.34926983577321724
